CO2pressure,Ts,H2Oppm,Oesc,depv,N2Ar,CO_01G,HOratio_01G,CO_1G,HOratio_1G,fO2,fCO,fH2,fOx,fH2O2,fO3
6.3,200,2.139716886,1.20E+08,0.02,0,0.001521766,2.000000001,0.001521776,1.999999998,0.000765502,0.001521776,4.23E-05,-3.31E-05,2.52E-08,8.09E-09
,,,,,,,,,,,,,,,
10,200,2.139716886,1.20E+08,0.02,0,0.003217097,2.000000019,0.003217071,1.999999978,0.000410142,0.003217071,4.69E-05,-0.002443718,1.79E-08,5.95E-09
,,,,,,,,,,,,,,,
20,200,2.139716886,1.20E+08,0.02,0,0.128610457,1.985571714,0.130746234,2.000000714,0.000167293,0.130746234,3.31E-05,-0.130444753,8.22E-09,2.82E-09
30,200,2.139716886,1.20E+08,0.02,0,0.275937303,1.733073786,0.335210341,2.000000275,9.12E-05,0.335210341,2.09E-05,-0.335048763,4.91E-09,1.09E-09
40,200,2.139716886,1.20E+08,0.02,0,0.320911965,1.360835225,0.509536317,1.999700696,4.10E-05,0.509536317,1.81E-05,-0.509472419,3.77E-09,4.13E-10
50,200,2.139716886,1.20E+08,0.02,0,0.323609203,1.072971235,0.623110738,1.99902235,1.85E-05,0.623110738,1.79E-05,-0.623091754,3.21E-09,1.85E-10
60,200,2.139716886,1.20E+08,0.02,0,0.312876995,0.878964067,0.686336537,1.998757366,9.77E-06,0.686336537,1.81E-05,-0.686335137,2.75E-09,1.03E-10
70,200,2.139716886,1.20E+08,0.02,0,0.295293104,0.746820113,0.734685971,1.998394217,4.82E-06,0.734685971,1.80E-05,-0.734694303,2.33E-09,5.68E-11
80,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,
900,,,,,,,,,,,,,,,
1.00E+03,,,,,,,,,,,,,,,
2.00E+03,,,,,,,,,,,,,,,
3.00E+03,,,,,,,,,,,,,,,
6.3,210,9.579905555,1.20E+08,0.02,0,0.000324617,2,0.000324618,1.999999999,0.000548391,0.000324618,4.48E-05,0.000727403,3.66E-08,4.30E-09
8,210,9.579905958,1.20E+08,0.02,0,0.000379978,2,0.000379979,2.000000001,0.000409464,0.000379979,4.46E-05,0.000394357,,
10,210,9.579905958,1.20E+08,0.02,0,0.000451376,2,0.000451375,2.000000001,0.00031004,0.000451375,4.66E-05,0.000122107,2.59E-08,3.39E-09
15,210,9.579905958,1.20E+08,0.02,0,0.000662016,2.000000005,0.000662017,2,0.000190676,0.000662017,5.03E-05,-0.000330954,,
20,210,9.579905958,1.20E+08,0.02,0,0.000946237,1.999999998,0.00094623,2.000000003,0.000136364,0.00094623,5.15E-05,-0.000724981,1.40E-08,2.43E-09
30,210,9.579905958,1.20E+08,0.02,0,0.002055386,2.000000001,0.00205541,1.999999992,8.36E-05,0.00205541,5.11E-05,-0.001939403,9.30E-09,1.94E-09
40,210,9.579905958,1.20E+08,0.02,0,0.006631599,2.000000002,0.006631761,1.999999973,5.88E-05,0.006631761,4.92E-05,-0.006563441,6.77E-09,1.58E-09
50,210,9.579905958,1.20E+08,0.02,0,0.035136229,1.981593085,0.037461456,2.000001411,5.15E-05,0.037461456,4.14E-05,-0.037399774,5.18E-09,1.17E-09
60,210,9.579905958,1.20E+08,0.02,0,0.073780241,1.851960719,0.115000331,1.999912617,4.39E-05,0.115000331,3.21E-05,-0.114944604,4.06E-09,7.30E-10
