CO2pressure,Ts,H2Oppm,Oescbefore,Oesc,depv,regulationtimescale
6.3,200,2.139720078,1.20E+08,2.40E+08,0.02,5.77E+12
,,,,,,
10,200,2.139720076,1.20E+08,2.40E+08,0.02,2.54E+13
,,,,,,
20,200,2.139718702,1.20E+08,2.40E+08,0.02,3.73E+15
30,200,2.139716551,1.20E+08,2.40E+08,0.02,6.63E+15
40,200,2.13971478,1.20E+08,2.40E+08,0.02,6.84E+15
50,200,2.139713657,1.20E+08,2.40E+08,0.02,5.50E+15
60,200,2.139713042,1.20E+08,2.40E+08,0.02,4.04E+15
70,200,2.139712576,1.20E+08,2.40E+08,0.02,1.25E+15
80,200,2.139712576,1.20E+08,2.40E+08,0.02,
90,200,2.139712576,1.20E+08,2.40E+08,0.02,
100,200,2.139712576,1.20E+08,2.40E+08,0.02,
200,200,2.139712576,1.20E+08,2.40E+08,0.02,
300,200,2.139712576,1.20E+08,2.40E+08,0.02,
400,200,2.139712576,1.20E+08,2.40E+08,0.02,
500,200,2.139712576,1.20E+08,2.40E+08,0.02,
600,200,2.139712576,1.20E+08,2.40E+08,0.02,
700,200,2.139712576,1.20E+08,2.40E+08,0.02,
800,200,2.139712576,1.20E+08,2.40E+08,0.02,
900,200,2.139712576,1.20E+08,2.40E+08,0.02,
1.00E+03,200,2.139712576,1.20E+08,2.40E+08,0.02,
2.00E+03,200,2.139712576,1.20E+08,2.40E+08,0.02,
3.00E+03,200,2.139712576,1.20E+08,2.40E+08,0.02,
6.3,210,9.579899247,1.20E+08,2.40E+08,0.02,2.73E+12
8,210,9.579899394,1.20E+08,2.40E+08,0.02,2.54E+12
10,210,9.579899501,1.20E+08,2.40E+08,0.02,2.67E+12
15,210,9.579899632,1.20E+08,2.40E+08,0.02,4.00E+12
20,210,9.579899676,1.20E+08,2.40E+08,0.02,8.04E+12
30,210,9.579899609,1.20E+08,2.40E+08,0.02,6.35E+13
40,210,9.579899001,1.20E+08,2.40E+08,0.02,2.18E+15
50,210,9.579894613,1.20E+08,2.40E+08,0.02,1.09E+16
60,210,9.579883631,1.20E+08,2.40E+08,0.02,1.45E+16
70,210,,1.20E+08,2.40E+08,0.02,
80,210,,1.20E+08,2.40E+08,0.02,
90,210,,1.20E+08,2.40E+08,0.02,
100,210,,1.20E+08,2.40E+08,0.02,
200,210,,1.20E+08,2.40E+08,0.02,
300,210,,1.20E+08,2.40E+08,0.02,
400,210,,1.20E+08,2.40E+08,0.02,
500,210,,1.20E+08,2.40E+08,0.02,
600,210,,1.20E+08,2.40E+08,0.02,
700,210,,1.20E+08,2.40E+08,0.02,
800,210,,1.20E+08,2.40E+08,0.02,
900,210,,1.20E+08,2.40E+08,0.02,
1.00E+03,210,,1.20E+08,2.40E+08,0.02,
2.00E+03,210,,1.20E+08,2.40E+08,0.02,
3.00E+03,210,,1.20E+08,2.40E+08,0.02,
6.3,220,37.47791922,1.20E+08,2.40E+08,0.02,1.50E+12
,,,,,,
10,220,37.47792194,1.20E+08,2.40E+08,0.02,1.31E+12
,,,,,,
20,220,37.47792435,1.20E+08,2.40E+08,0.02,1.96E+12
30,220,37.47792514,1.20E+08,2.40E+08,0.02,3.64E+12
40,220,37.47792551,1.20E+08,2.40E+08,0.02,6.91E+12
50,220,37.47792568,1.20E+08,2.40E+08,0.02,1.26E+13
60,220,37.47792575,1.20E+08,2.40E+08,0.02,2.17E+13
70,220,37.4779258,1.20E+08,2.40E+08,0.02,3.47E+13
80,220,37.47792577,1.20E+08,2.40E+08,0.02,5.54E+13
90,220,37.47792575,1.20E+08,2.40E+08,0.02,8.23E+13
100,220,37.47792566,1.20E+08,2.40E+08,0.02,1.24E+14
200,220,37.47792445,1.20E+08,2.40E+08,0.02,3.22E+15
300,220,,1.20E+08,2.40E+08,0.02,
400,220,,1.20E+08,2.40E+08,0.02,
500,220,,1.20E+08,2.40E+08,0.02,
600,220,,1.20E+08,2.40E+08,0.02,
700,220,,1.20E+08,2.40E+08,0.02,
800,220,,1.20E+08,2.40E+08,0.02,
900,220,,1.20E+08,2.40E+08,0.02,
1.00E+03,220,,1.20E+08,2.40E+08,0.02,
2.00E+03,220,,1.20E+08,2.40E+08,0.02,
3.00E+03,220,,1.20E+08,2.40E+08,0.02,
6.3,230,130.3637451,1.20E+08,2.40E+08,0.02,7.16E+11
,,,,,,
10,230,130.3637757,1.20E+08,2.40E+08,0.02,7.00E+11
,,,,,,
20,230,130.3638036,1.20E+08,2.40E+08,0.02,8.63E+11
30,230,130.3638135,1.20E+08,2.40E+08,0.02,1.58E+12
40,230,130.3638186,1.20E+08,2.40E+08,0.02,2.54E+12
50,230,130.3638186,1.20E+08,2.40E+08,0.02,3.78E+12
60,230,130.3638239,1.20E+08,2.40E+08,0.02,5.07E+12
70,230,130.3638254,1.20E+08,2.40E+08,0.02,6.76E+12
80,230,130.3638266,1.20E+08,2.40E+08,0.02,8.34E+12
90,230,130.3638274,1.20E+08,2.40E+08,0.02,1.04E+13
100,230,130.3638282,1.20E+08,2.40E+08,0.02,1.22E+13
200,230,130.3638317,1.20E+08,2.40E+08,0.02,3.44E+13
300,230,130.3638328,1.20E+08,2.40E+08,0.02,6.08E+13
400,230,130.3638335,1.20E+08,2.40E+08,0.02,8.78E+13
500,230,130.3638339,1.20E+08,2.40E+08,0.02,1.17E+14
600,230,130.3638343,1.20E+08,2.40E+08,0.02,1.43E+14
700,230,130.3638344,1.20E+08,2.40E+08,0.02,1.75E+14
800,230,130.3638346,1.20E+08,2.40E+08,0.02,2.01E+14
900,230,130.3638346,1.20E+08,2.40E+08,0.02,2.35E+14
1.00E+03,230,130.3638348,1.20E+08,2.40E+08,0.02,2.62E+14
2.00E+03,230,130.3638355,1.20E+08,2.40E+08,0.02,7.28E+14
3.00E+03,230,130.3638357,1.20E+08,2.40E+08,0.02,1.04E+15
6.3,240,408.9787775,1.20E+08,2.40E+08,0.02,2.50E+11
8,240,408.9789304,1.20E+08,2.40E+08,0.02,3.19E+11
10,240,408.9790473,1.20E+08,2.40E+08,0.02,4.32E+11
15,240,408.9792084,1.20E+08,2.40E+08,0.02,6.85E+11
20,240,408.9792917,1.20E+08,2.40E+08,0.02,9.61E+11
30,240,408.9793779,1.20E+08,2.40E+08,0.02,1.69E+12
40,240,408.9794203,1.20E+08,2.40E+08,0.02,1.98E+12
50,240,408.9794469,1.20E+08,2.40E+08,0.02,1.81E+12
60,240,408.9794652,1.20E+08,2.40E+08,0.02,2.69E+12
70,240,408.9794781,1.20E+08,2.40E+08,0.02,3.61E+12
80,240,408.9794883,1.20E+08,2.40E+08,0.02,4.42E+12
90,240,408.9794959,1.20E+08,2.40E+08,0.02,5.45E+12
